id,task,model1_name,model1_h,model1_r,model1_hrc,model2_name,model2_h,model2_r,model2_hrc,predecessor,initial_solution,belongsToStation,benefit_r,benefit_hrc
0,1,X,15,20,4,Y,12,15,6,-1,H,A,10000000,20000000
1,2,X,15,15,5,Y,20,20,3,1,H,B,10000000,20000000
2,3,X,50,50,2,Y,50,50,2,-1,HRC,A,10000000,20000000
3,4,X,50,50,0,Y,50,50,2,3,HRC,A,10000000,20000000
4,5,X,4,15,15,Y,2,20,20,"1,4",H,C,10000000,20000000
5,6,X,4,50,20,Y,2,50,20,5,HRC,D,10000000,20000000
6,7,X,15,3,70,Y,20,2,70,2,R,C,10000000,20000000
7,8,X,20,4,20,Y,10,1,10,"6,7",R,E,10000000,20000000
8,9,X,3,50,15,Y,4,50,20,8,H,E,10000000,20000000
9,10,X,1,15,15,Y,1,10,10,9,HRC,F,10000000,20000000
